Income,Recency,NumWebVisitsMonth,Complain,Response,AcceptedAnyCmp,HasChildren,Age,ClientDays,AmountSpend,NumPurchases,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Generation_BabyBoomer,Generation_Millennials,Generation_Postguerra,Generation_X,Generation_Z,NewMaritalStatus_Couple,NewMaritalStatus_Divorced,NewMaritalStatus_Other,NewMaritalStatus_Single,NewMaritalStatus_Widow
7500.0,19,5,0,0,0,1,48,3492,31,8,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
79941.0,72,1,0,0,0,0,47,3223,984,16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
7500.0,24,9,0,1,0,0,27,3819,122,10,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
41728.0,92,10,0,0,0,1,55,3623,55,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
72550.0,39,8,0,0,0,1,69,3820,1319,28,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
65486.0,29,2,0,0,0,1,66,3270,507,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
79143.0,2,3,0,0,0,0,59,3909,1693,29,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
35790.0,54,7,0,0,0,1,46,3765,72,7,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
82582.0,54,1,0,1,1,0,46,3244,1617,21,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
66373.0,57,3,0,0,0,1,45,3604,606,23,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
82384.0,55,1,0,1,1,0,68,3809,1957,27,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
70287.0,30,3,0,1,0,0,57,3675,1093,21,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
27938.0,31,3,0,0,0,1,35,3284,29,6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
55954.0,63,7,0,0,0,1,55,3340,518,19,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
75777.0,12,1,0,1,1,0,41,3582,1438,21,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
66653.0,18,3,0,0,0,1,48,3882,612,22,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
61823.0,26,7,0,0,0,1,71,3718,884,24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
67680.0,8,5,0,0,0,1,72,3605,606,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
70666.0,29,4,0,0,0,0,75,3427,1076,16,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
25721.0,75,7,0,1,0,1,52,3626,34,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
32474.0,0,7,0,0,0,1,56,3271,11,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
88194.0,19,5,0,1,1,1,44,3324,1274,32,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
69096.0,4,4,0,0,0,1,65,3497,653,18,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
74854.0,90,5,0,0,0,1,53,3669,1562,19,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
66991.0,1,3,0,0,0,0,69,3878,1253,21,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
65031.0,29,7,0,0,0,1,64,3691,863,30,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
60631.0,88,7,0,0,1,1,48,3672,661,24,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
28332.0,58,2,0,0,0,0,71,3282,65,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
40246.0,68,6,0,0,0,1,46,3779,13,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
75251.0,34,5,0,1,0,0,51,3893,1890,19,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
75825.0,40,4,0,1,1,0,47,3847,2209,22,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
26326.0,12,3,1,0,0,0,47,3520,18,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
56046.0,9,8,0,1,1,0,58,3765,692,21,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
29760.0,87,8,0,0,0,1,38,3891,165,12,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
26304.0,5,7,0,0,0,1,54,3593,16,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
23559.0,87,7,0,0,0,1,50,3583,79,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38620.0,56,3,0,0,0,0,60,3636,318,11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
81361.0,18,1,0,0,0,0,36,3346,778,27,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
29440.0,95,7,0,0,0,1,63,3544,56,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
36138.0,48,7,0,0,1,1,53,3570,151,13,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
50388.0,3,7,0,1,1,1,66,3254,372,17,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
79593.0,70,2,0,0,1,0,50,3270,1366,19,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
54178.0,79,2,0,0,0,1,56,3381,194,10,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
42394.0,69,7,0,0,0,1,51,3320,32,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
23626.0,84,5,0,0,0,1,53,3258,43,10,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
30096.0,30,6,0,0,0,1,40,3260,45,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
47916.0,72,6,0,0,1,1,63,3806,606,22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
51813.0,37,7,0,0,0,1,51,3666,63,7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
78497.0,44,2,0,0,1,0,72,3432,978,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
50150.0,32,5,0,0,0,0,40,3596,410,16,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
47823.0,0,8,0,0,0,1,63,3563,72,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
34554.0,43,6,0,0,0,1,64,3313,55,7,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
85693.0,59,5,0,0,0,1,44,3657,1169,27,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
65846.0,68,4,0,0,0,0,78,3630,1120,16,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
87195.0,35,1,0,1,0,0,64,3274,1097,20,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
24594.0,94,5,0,0,0,1,44,3423,29,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
49096.0,15,7,0,0,0,1,59,3500,187,13,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
52413.0,56,6,0,0,0,1,54,3734,910,26,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
38557.0,17,7,0,0,0,1,45,3779,145,9,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
89058.0,18,2,0,0,0,0,63,3791,850,14,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
77298.0,46,3,0,0,0,1,44,3461,969,24,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
68126.0,40,9,0,1,1,0,32,3818,1820,17,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
57288.0,27,6,0,0,1,1,60,3226,608,20,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
86037.0,95,3,0,1,1,0,32,3765,730,25,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
43974.0,19,7,0,0,0,1,43,3786,551,21,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
50785.0,27,6,0,0,0,1,61,3514,114,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
90765.0,25,1,0,0,1,0,53,3378,1724,15,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
36550.0,74,9,0,0,0,1,45,3717,577,20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
30753.0,85,5,0,0,0,1,56,3575,81,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21918.0,37,6,0,0,0,1,54,3449,33,7,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
56129.0,65,4,0,0,0,1,70,3596,660,22,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
32557.0,13,5,0,1,0,1,56,3347,80,9,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
19510.0,63,7,0,0,0,1,38,3520,30,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
30992.0,83,7,0,0,0,1,47,3655,43,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
101970.0,69,2,0,1,1,0,40,3696,1135,27,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
71488.0,87,1,0,0,0,0,58,3718,559,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
79607.0,37,1,0,1,0,0,39,3656,1923,16,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
54348.0,51,6,0,0,0,1,70,3243,90,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
77376.0,72,4,0,0,0,1,67,3272,661,23,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
62998.0,10,5,0,0,0,1,71,3494,463,19,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
61331.0,42,8,0,0,0,1,65,3698,632,23,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
73448.0,10,4,0,0,0,0,54,3361,725,19,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
41551.0,51,8,0,0,0,1,59,3541,279,16,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
62981.0,21,3,0,0,1,0,56,3691,1482,23,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
9548.0,31,8,0,0,0,1,47,3912,29,6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
33762.0,61,8,0,0,0,1,64,3579,106,9,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
35860.0,37,5,0,1,1,1,50,3263,49,6,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
36921.0,74,7,0,0,0,1,58,3558,38,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
92859.0,46,2,0,0,0,0,31,3840,2077,22,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
65104.0,4,7,0,1,0,1,47,3449,1053,17,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
86111.0,73,2,0,0,0,0,61,3658,1385,23,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
68352.0,47,6,0,0,0,1,49,3527,871,25,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
41883.0,13,7,0,0,0,1,35,3689,312,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
59809.0,36,8,0,0,0,1,47,3841,877,15,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
23957.0,47,6,0,1,0,1,48,3831,68,6,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
38547.0,49,8,1,0,0,1,42,3527,22,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
35688.0,94,8,0,0,0,1,50,3898,211,16,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49605.0,65,3,0,0,0,0,57,3230,127,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
59354.0,59,3,0,0,0,1,70,3288,459,16,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
65747.0,96,6,0,0,1,1,54,3336,460,19,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
46344.0,28,7,0,0,0,1,51,3784,429,17,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
34176.0,12,6,0,0,0,1,35,3270,89,11,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
61010.0,57,5,0,0,0,1,71,3850,1021,26,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
69372.0,10,4,0,1,1,0,74,3717,1381,21,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
49967.0,4,7,0,0,0,1,65,3578,306,15,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
60199.0,49,4,0,0,0,1,45,3512,18,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
55375.0,3,2,0,0,0,1,46,3477,162,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
80317.0,64,1,0,0,0,0,68,3535,1231,18,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
30523.0,0,7,0,0,0,1,65,3585,13,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
70356.0,20,6,0,0,0,0,78,3823,1706,27,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
23228.0,91,8,0,0,0,1,39,3397,121,11,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
74165.0,9,2,0,0,0,0,48,3646,1293,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
157243.0,98,0,0,0,0,1,50,3342,1608,37,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
43482.0,83,6,0,0,0,1,57,3450,88,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
62551.0,27,3,0,0,1,0,70,3445,421,18,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
52332.0,63,4,0,0,1,0,64,3527,259,12,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
66951.0,46,1,0,0,0,0,35,3461,1117,15,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
26091.0,84,5,0,0,0,1,66,3346,89,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
33456.0,58,7,0,0,0,1,58,3291,36,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
28718.0,78,8,0,0,0,1,41,3573,57,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
50447.0,4,6,0,0,0,1,53,3291,148,8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
53537.0,17,5,0,0,0,1,64,3372,93,8,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
52074.0,77,4,0,0,1,1,56,3308,119,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
80427.0,56,5,0,0,0,1,48,3877,1835,28,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
83837.0,79,4,0,1,1,0,75,3782,1318,25,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
38853.0,90,7,0,0,0,1,53,3259,45,7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
38285.0,96,2,0,0,0,1,64,3227,10,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
78497.0,44,2,0,0,1,0,72,3432,978,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51650.0,81,5,0,0,0,1,47,3271,191,10,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
16248.0,77,6,0,0,0,1,35,3272,57,9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
66835.0,21,2,0,0,0,0,77,3496,1033,24,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
30477.0,16,6,0,0,0,1,39,3380,66,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
28249.0,80,6,0,0,0,0,62,3236,43,6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
25271.0,45,9,0,0,0,1,40,3793,50,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
32303.0,63,5,0,0,0,1,53,3335,39,7,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
61286.0,34,5,0,0,0,1,57,3553,608,18,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
74068.0,14,2,0,0,0,0,47,3689,1581,24,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
45759.0,13,7,0,0,0,1,59,3713,68,7,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
24882.0,52,6,0,0,1,1,45,3880,80,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
66973.0,98,3,0,0,0,0,34,3630,1282,28,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
38872.0,93,8,0,0,0,1,35,3617,91,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
51148.0,38,6,0,0,0,1,50,3718,315,16,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
31353.0,24,8,0,0,0,1,46,3404,31,6,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
69661.0,80,3,0,0,0,0,43,3269,834,23,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
80067.0,82,2,0,0,1,0,69,3505,1600,17,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
86718.0,20,2,0,0,0,0,69,3750,1270,17,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
46854.0,81,8,0,1,1,1,50,3312,263,15,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
69142.0,50,5,0,0,1,1,71,3222,535,19,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
75922.0,60,1,0,0,0,0,55,3424,1295,18,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
63693.0,63,6,0,0,0,1,45,3480,1150,29,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
102160.0,54,4,0,1,1,0,46,3826,1240,26,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
40637.0,72,7,0,0,0,1,58,3569,38,6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
18890.0,5,6,0,1,1,0,39,3818,35,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
29604.0,88,9,0,0,1,1,35,3425,53,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
48721.0,50,6,0,0,0,1,60,3634,293,17,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
44794.0,99,6,0,0,0,1,57,3243,65,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
64497.0,17,8,0,1,1,1,69,3879,1804,29,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
46097.0,11,4,0,0,0,1,67,3677,241,15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
77972.0,18,1,0,0,0,0,69,3325,1101,20,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
44377.0,70,8,0,0,0,1,55,3854,264,19,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
46014.0,21,7,0,0,0,1,49,3746,541,26,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
70951.0,66,1,0,0,0,0,38,3643,1198,17,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
41443.0,79,8,0,0,0,1,46,3311,482,20,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
52195.0,2,8,0,0,0,1,45,3270,17,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
83790.0,81,3,0,0,1,0,75,3448,1615,25,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
44551.0,24,7,0,0,0,1,69,3524,285,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
69508.0,48,6,0,0,0,1,43,3814,1135,28,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
45204.0,93,3,0,0,0,1,35,3301,114,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72460.0,56,1,0,0,0,0,54,3449,1047,16,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
77622.0,3,3,0,0,0,1,53,3298,714,22,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
30732.0,44,8,0,0,0,1,43,3762,185,13,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
63887.0,38,6,0,0,0,1,61,3881,1245,32,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
42011.0,46,8,0,0,0,1,45,3682,189,12,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
51369.0,84,8,0,0,0,1,47,3834,576,16,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
51537.0,27,8,0,0,0,1,71,3789,1103,18,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
79930.0,72,2,0,0,0,0,51,3912,1753,17,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
34320.0,66,8,0,0,0,1,37,3355,17,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
37070.0,30,7,0,1,0,1,57,3688,433,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
81975.0,2,7,0,0,1,1,61,3762,1588,14,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
38590.0,65,8,0,0,0,1,52,3632,22,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
15033.0,37,3,0,0,0,0,72,3296,19,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
62745.0,89,5,0,0,0,1,58,3685,1117,29,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
22212.0,49,6,0,0,0,1,48,3424,69,8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
23661.0,46,7,0,0,0,1,41,3429,23,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
79761.0,32,3,0,0,0,1,65,3490,605,19,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
7500.0,54,7,0,0,0,1,50,3407,57,11,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
73455.0,98,3,0,0,1,0,55,3466,2088,22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
64961.0,97,3,0,0,0,1,65,3775,1009,16,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
22804.0,75,9,0,0,0,1,52,3555,26,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
73687.0,8,2,0,1,1,0,33,3435,1627,22,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
61074.0,37,7,0,0,0,1,65,3903,1102,31,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
31686.0,31,6,0,0,0,1,59,3246,17,6,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
80134.0,40,6,0,1,1,1,51,3627,1690,16,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
75027.0,74,5,0,0,0,1,70,3758,1390,21,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
67546.0,90,3,0,0,0,0,35,3889,2126,20,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
65176.0,57,6,0,0,0,1,54,3830,1531,25,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
31160.0,59,8,0,0,0,1,48,3508,64,7,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
29938.0,52,6,0,0,0,1,38,3467,26,6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
102692.0,5,2,0,1,1,0,49,3672,1112,29,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
26490.0,92,6,0,0,0,0,65,3867,210,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
